Namespace(batch_size=4, bits=8, checkpoint_iters=1000, clip=0.5, decoder_fuse_level=1, distance1=1, distance2=2, encoder_fuse_level=1, eval='../../data/eval', eval_batch_size=1, eval_iters=4500, eval_mv='../../data/eval_mv', fuse_encoder=True, gamma=0.5, gpus='0', iterations=10, load_iter=None, load_model_name=None, lr=0.00025, max_train_iters=10000, model_dir='model', num_crops=2, out_dir='output', patch=64, save_codes=True, save_model_name='gaze_model', save_out_img=True, schedule='50000,60000,70000,80000,90000', shrink=2, stack=True, train='../../data/new-data/train', train_mv='../../data/new-data/train_mv', v_compress=True, warp=True)

Creating loader for ../../data/new-data/train...
26594 images loaded.
	distance=1/2
Loader for 26594 images (6649 batches) created.
	Encoder fuse level: 1
	Decoder fuse level: 1
[TRAIN] Iter[137]; LR: 0.00025; Loss: 0.095055; Backprop: 0.0947 sec; Batch: 0.4995 sec
[TRAIN] Iter[138]; LR: 0.00025; Loss: 0.093172; Backprop: 0.0946 sec; Batch: 0.5000 sec
[TRAIN] Iter[139]; LR: 0.00025; Loss: 0.100300; Backprop: 0.0947 sec; Batch: 0.4992 sec
[TRAIN] Iter[140]; LR: 0.00025; Loss: 0.082637; Backprop: 0.0943 sec; Batch: 0.5007 sec
[TRAIN] Iter[141]; LR: 0.00025; Loss: 0.092165; Backprop: 0.0947 sec; Batch: 0.4992 sec
[TRAIN] Iter[142]; LR: 0.00025; Loss: 0.097364; Backprop: 0.0944 sec; Batch: 0.4997 sec
[TRAIN] Iter[143]; LR: 0.00025; Loss: 0.077717; Backprop: 0.0948 sec; Batch: 0.4991 sec
[TRAIN] Iter[144]; LR: 0.00025; Loss: 0.082877; Backprop: 0.0947 sec; Batch: 0.4994 sec
[TRAIN] Iter[145]; LR: 0.00025; Loss: 0.080042; Backprop: 0.0946 sec; Batch: 0.4995 sec
[TRAIN] Iter[146]; LR: 0.00025; Loss: 0.100497; Backprop: 0.0947 sec; Batch: 0.5001 sec
[TRAIN] Iter[147]; LR: 0.00025; Loss: 0.098525; Backprop: 0.0948 sec; Batch: 0.4994 sec
[TRAIN] Iter[148]; LR: 0.00025; Loss: 0.097114; Backprop: 0.0946 sec; Batch: 0.4993 sec
[TRAIN] Iter[149]; LR: 0.00025; Loss: 0.077609; Backprop: 0.0949 sec; Batch: 0.4999 sec
[TRAIN] Iter[150]; LR: 0.00025; Loss: 0.093845; Backprop: 0.0946 sec; Batch: 0.4996 sec
[TRAIN] Iter[151]; LR: 0.00025; Loss: 0.100390; Backprop: 0.0945 sec; Batch: 0.4994 sec
[TRAIN] Iter[152]; LR: 0.00025; Loss: 0.072586; Backprop: 0.0946 sec; Batch: 0.4995 sec
[TRAIN] Iter[153]; LR: 0.00025; Loss: 0.075117; Backprop: 0.0947 sec; Batch: 0.4997 sec
[TRAIN] Iter[154]; LR: 0.00025; Loss: 0.087404; Backprop: 0.0945 sec; Batch: 0.4995 sec
[TRAIN] Iter[155]; LR: 0.00025; Loss: 0.077339; Backprop: 0.0949 sec; Batch: 0.4996 sec
[TRAIN] Iter[156]; LR: 0.00025; Loss: 0.082202; Backprop: 0.0948 sec; Batch: 0.4995 sec
[TRAIN] Iter[157]; LR: 0.00025; Loss: 0.068262; Backprop: 0.0950 sec; Batch: 0.4996 sec
[TRAIN] Iter[158]; LR: 0.00025; Loss: 0.111081; Backprop: 0.0945 sec; Batch: 0.4993 sec
[TRAIN] Iter[159]; LR: 0.00025; Loss: 0.113860; Backprop: 0.0950 sec; Batch: 0.5005 sec
[TRAIN] Iter[160]; LR: 0.00025; Loss: 0.091123; Backprop: 0.0947 sec; Batch: 0.4999 sec
[TRAIN] Iter[161]; LR: 0.00025; Loss: 0.105405; Backprop: 0.0948 sec; Batch: 0.4994 sec
[TRAIN] Iter[162]; LR: 0.00025; Loss: 0.088457; Backprop: 0.0947 sec; Batch: 0.4999 sec
[TRAIN] Iter[163]; LR: 0.00025; Loss: 0.079972; Backprop: 0.0950 sec; Batch: 0.4997 sec
[TRAIN] Iter[164]; LR: 0.00025; Loss: 0.091664; Backprop: 0.0946 sec; Batch: 0.5004 sec
[TRAIN] Iter[165]; LR: 0.00025; Loss: 0.107210; Backprop: 0.0943 sec; Batch: 0.4998 sec
[TRAIN] Iter[166]; LR: 0.00025; Loss: 0.110622; Backprop: 0.0949 sec; Batch: 0.5003 sec
[TRAIN] Iter[167]; LR: 0.00025; Loss: 0.103673; Backprop: 0.0948 sec; Batch: 0.4992 sec
[TRAIN] Iter[168]; LR: 0.00025; Loss: 0.084215; Backprop: 0.0948 sec; Batch: 0.4993 sec
[TRAIN] Iter[169]; LR: 0.00025; Loss: 0.108310; Backprop: 0.0946 sec; Batch: 0.4997 sec
[TRAIN] Iter[170]; LR: 0.00025; Loss: 0.075510; Backprop: 0.0945 sec; Batch: 0.5003 sec
[TRAIN] Iter[171]; LR: 0.00025; Loss: 0.105460; Backprop: 0.0950 sec; Batch: 0.4995 sec
[TRAIN] Iter[172]; LR: 0.00025; Loss: 0.085276; Backprop: 0.0945 sec; Batch: 0.4993 sec
[TRAIN] Iter[173]; LR: 0.00025; Loss: 0.075732; Backprop: 0.0945 sec; Batch: 0.4993 sec
[TRAIN] Iter[174]; LR: 0.00025; Loss: 0.074150; Backprop: 0.0949 sec; Batch: 0.4998 sec
[TRAIN] Iter[175]; LR: 0.00025; Loss: 0.088048; Backprop: 0.0946 sec; Batch: 0.5000 sec
[TRAIN] Iter[176]; LR: 0.00025; Loss: 0.081062; Backprop: 0.0946 sec; Batch: 0.5007 sec
[TRAIN] Iter[177]; LR: 0.00025; Loss: 0.069958; Backprop: 0.0948 sec; Batch: 0.5008 sec
[TRAIN] Iter[178]; LR: 0.00025; Loss: 0.102076; Backprop: 0.0945 sec; Batch: 0.5007 sec
[TRAIN] Iter[179]; LR: 0.00025; Loss: 0.064644; Backprop: 0.0948 sec; Batch: 0.4996 sec
[TRAIN] Iter[180]; LR: 0.00025; Loss: 0.098882; Backprop: 0.0944 sec; Batch: 0.4995 sec
[TRAIN] Iter[181]; LR: 0.00025; Loss: 0.132247; Backprop: 0.0947 sec; Batch: 0.5009 sec
[TRAIN] Iter[182]; LR: 0.00025; Loss: 0.073845; Backprop: 0.0948 sec; Batch: 0.4998 sec
[TRAIN] Iter[183]; LR: 0.00025; Loss: 0.107019; Backprop: 0.0948 sec; Batch: 0.4999 sec
